code,location,population
4,Afghanistan,38928
8,Albania,2878
12,Algeria,43851
16,American Samoa,55
20,Andorra,77
24,Angola,32866
660,Anguilla,15
28,Antigua and Barbuda,98
32,Argentina,45196
51,Armenia,2963
533,Aruba,107
36,Australia,25500
40,Austria,9006
31,Azerbaijan,10139
44,Bahamas,393
48,Bahrain,1702
50,Bangladesh,164689
52,Barbados,287
112,Belarus,9449
56,Belgium,11590
84,Belize,398
204,Benin,12123
60,Bermuda,62
64,Bhutan,772
68,Bolivia (Plurinational State of),11673
70,Bosnia and Herzegovina,3281
72,Botswana,2352
76,Brazil,212559
92,British Virgin Islands,30
96,Brunei Darussalam,437
100,Bulgaria,6948
854,Burkina Faso,20903
108,Burundi,11891
132,Cabo Verde,556
116,Cambodia,16719
120,Cameroon,26546
124,Canada,37742
136,Cayman Islands,66
140,Central African Republic,4830
148,Chad,16426
830,Channel Islands,174
152,Chile,19116
156,China,1439324
170,Colombia,50883
174,Comoros,870
178,Congo,5518
184,Cook Islands,18
188,Costa Rica,5094
191,Croatia,4105
192,Cuba,11327
531,Curaçao,164
196,Cyprus,1207
203,Czechia,10709
384,Côte d'Ivoire,26378
408,Dem. People's Republic of Korea,25779
180,Democratic Republic of the Congo,89561
208,Denmark,5792
262,Djibouti,988
212,Dominica,72
214,Dominican Republic,10848
218,Ecuador,17643
818,Egypt,102334
222,El Salvador,6486
226,Equatorial Guinea,1403
232,Eritrea,3546
233,Estonia,1327
748,Eswatini,1160
231,Ethiopia,114964
238,Falkland Islands (Malvinas),3
234,Faroe Islands,49
242,Fiji,896
246,Finland,5541
250,France,65274
254,French Guiana,299
258,French Polynesia,281
266,Gabon,2226
270,Gambia,2417
268,Georgia,3989
276,Germany,83784
288,Ghana,31073
292,Gibraltar,34
300,Greece,10423
304,Greenland,57
308,Grenada,113
312,Guadeloupe,400
316,Guam,169
320,Guatemala,17916
324,Guinea,13133
624,Guinea-Bissau,1968
328,Guyana,787
332,Haiti,11403
336,Holy See,1
340,Honduras,9905
348,Hungary,9660
352,Iceland,341
356,India,1380004
360,Indonesia,273524
364,Iran (Islamic Republic of),83993
368,Iraq,40223
372,Ireland,4938
833,Isle of Man,85
376,Israel,8656
380,Italy,60462
388,Jamaica,2961
392,Japan,126476
400,Jordan,10203
398,Kazakhstan,18777
404,Kenya,53771
296,Kiribati,119
414,Kuwait,4271
417,Kyrgyzstan,6524
418,Lao People's Democratic Republic,7276
428,Latvia,1886
422,Lebanon,6825
426,Lesotho,2142
430,Liberia,5058
434,Libya,6871
438,Liechtenstein,38
440,Lithuania,2722
442,Luxembourg,626
450,Madagascar,27691
454,Malawi,19130
458,Malaysia,32366
462,Maldives,541
466,Mali,20251
470,Malta,442
584,Marshall Islands,59
474,Martinique,375
478,Mauritania,4650
480,Mauritius,1272
175,Mayotte,273
484,Mexico,128933
583,Micronesia (Fed. States of),115
492,Monaco,39
496,Mongolia,3278
499,Montenegro,628
500,Montserrat,5
504,Morocco,36911
508,Mozambique,31255
104,Myanmar,54410
516,Namibia,2541
520,Nauru,11
524,Nepal,29137
528,Netherlands,17135
540,New Caledonia,285
554,New Zealand,4822
558,Nicaragua,6625
562,Niger,24207
566,Nigeria,206140
570,Niue,2
807,North Macedonia,2083
580,Northern Mariana Islands,58
578,Norway,5421
512,Oman,5107
586,Pakistan,220892
585,Palau,18
591,Panama,4315
598,Papua New Guinea,8947
600,Paraguay,7133
604,Peru,32972
608,Philippines,109581
616,Poland,37847
620,Portugal,10197
630,Puerto Rico,2861
634,Qatar,2881
410,Republic of Korea,51269
498,Republic of Moldova,4034
642,Romania,19238
643,Russian Federation,145934
646,Rwanda,12952
638,Réunion,895
652,Saint Barthélemy,10
654,Saint Helena,6
659,Saint Kitts and Nevis,53
662,Saint Lucia,184
663,Saint Martin (French part),39
666,Saint Pierre and Miquelon,6
670,Saint Vincent and the Grenadines,111
882,Samoa,198
674,San Marino,34
678,Sao Tome and Principe,219
682,Saudi Arabia,34814
686,Senegal,16744
688,Serbia,8737
690,Seychelles,98
694,Sierra Leone,7977
702,Singapore,5850
534,Sint Maarten (Dutch part),43
703,Slovakia,5460
705,Slovenia,2079
90,Solomon Islands,687
706,Somalia,15893
710,South Africa,59309
728,South Sudan,11194
724,Spain,46755
144,Sri Lanka,21413
275,State of Palestine,5101
729,Sudan,43849
740,Suriname,587
752,Sweden,10099
756,Switzerland,8655
760,Syrian Arab Republic,17501
762,Tajikistan,9538
764,Thailand,69800
626,Timor-Leste,1318
768,Togo,8279
772,Tokelau,1
776,Tonga,106
780,Trinidad and Tobago,1399
788,Tunisia,11819
792,Turkey,84339
795,Turkmenistan,6031
796,Turks and Caicos Islands,39
798,Tuvalu,12
800,Uganda,45741
804,Ukraine,43734
784,United Arab Emirates,9890
826,United Kingdom,67886
834,United Republic of Tanzania,59734
850,United States Virgin Islands,104
840,United States of America,331003
858,Uruguay,3474
860,Uzbekistan,33469
548,Vanuatu,307
862,Venezuela (Bolivarian Republic of),28436
704,Viet Nam,97339
876,Wallis and Futuna Islands,11
732,Western Sahara,597
887,Yemen,29826
894,Zambia,18384
716,Zimbabwe,14863